epoch,noise_level_mean,noise_level_std,train_loss_mean,train_loss_std,train_mae_mean,train_mae_std,train_grad_mean,train_grad_std,train_curv_mean,train_curv_std,val_abs_mae_mean,val_abs_mae_std,val_topo_mae_mean,val_topo_mae_std,val_rmse_mean,val_rmse_std,val_ssim_mean,val_ssim_std,val_psnr_mean,val_psnr_std,val_max_err_mean,val_max_err_std,val_grad_mae_mean,val_grad_mae_std,lr_mean,lr_std,epoch_time_s_mean,epoch_time_s_std
1,0.134650,0.023550,11.468470,1.601179,11.373831,1.829261,1.973193,0.052682,0.002455,0.000362,10.990680,0.070262,3.932033,0.026307,5.055403,0.147406,0.681764,0.009486,12.368650,0.171550,13.646147,0.403771,2.065060,0.187149,0.000076,0.000000,0.750000,0.250000
2,0.000000,0.000000,11.295036,1.516391,11.155720,1.682348,1.820448,0.043480,0.001259,0.000317,11.000343,0.070251,3.851411,0.000158,4.967642,0.075896,0.663164,0.022484,12.572100,0.032000,12.914975,0.284948,2.194780,0.413919,0.000076,0.000000,0.550000,0.050000
