epoch,noise_level,train_loss,train_mae,train_grad,train_curv,val_abs_mae,val_topo_mae,val_rmse,val_ssim,val_psnr,val_max_err,val_grad_mae,lr,epoch_time_s
1,0.1582,13.069649,13.203092,2.025875,0.002093,10.920418,3.905726,4.907997,0.672279,12.5402,14.049918,1.877911,0.00007575,0.5
2,0.0000,12.811427,12.838068,1.863929,0.000941,10.930093,3.851253,4.891746,0.685649,12.6041,13.199923,1.780861,0.00007575,0.5
