epoch,noise_level,train_loss,train_mae,train_grad,train_curv,val_abs_mae,val_topo_mae,val_rmse,val_ssim,val_psnr,val_max_err,val_grad_mae,lr,epoch_time_s
1,0.0263,10.264123,9.978625,1.616503,0.001159,11.181718,3.207095,4.274655,0.663960,14.1383,16.024753,2.712855,0.00007575,0.5
2,0.0680,10.112566,9.808655,1.562252,0.000809,11.185860,3.500317,4.668429,0.689540,13.3984,16.411298,2.244735,0.00007575,0.6
