epoch,noise_level,train_loss,train_mae,train_grad,train_curv,val_abs_mae,val_topo_mae,val_rmse,val_ssim,val_psnr,val_max_err,val_grad_mae,lr,epoch_time_s
1,0.0263,10.262909,9.978547,1.616644,0.000000,11.181717,3.207098,4.274660,0.663960,14.1383,16.024775,2.712853,0.00007575,0.6
2,0.0680,10.111678,9.808551,1.562536,0.000000,11.185855,3.500332,4.668445,0.689537,13.3984,16.411459,2.244736,0.00007575,0.6
