epoch,noise_level,train_loss,train_mae,train_grad,train_curv,val_abs_mae,val_topo_mae,val_rmse,val_ssim,val_psnr,val_max_err,val_grad_mae,lr,epoch_time_s
1,0.0263,10.007252,9.977935,1.617665,0.001162,11.181723,3.207143,4.274691,0.663963,14.1382,16.025022,2.712882,0.00007575,1.6
2,0.0680,9.858620,9.806157,1.566283,0.000811,11.185869,3.500461,4.668620,0.689577,13.3980,16.408597,2.244468,0.00007575,0.6
